config,N,M_alpha,label,role,target_b1,target_b2,target_b3,snapped_b1,snapped_b2,snapped_b3,snap_metric,snap_distance,V2,V1,V0,D1,D0,stage1_measure,stage0_measure,stage1_best_alpha_idx,stage0_best_alpha_idx,stage1_action_gap,stage0_action_gap,phase1_argmax_gap,stage1_proj_distance_mean,stage1_proj_distance_max,stage0_proj_distance_mean,stage0_proj_distance_max
N80_M240,80,240,A,center/symmetry,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.325,0.3375,0.3375,l2,0.010206207261596585,0.3375,0.650885414683493,0.7747326608778851,0.313385414683493,0.12384724619439202,1,1,1,169,2.220446049250313e-16,2.220446049250313e-16,1.2692311942896772e-05,0.007335654033700269,0.009480992896699784,0.008027502669626863,0.008738401232879481
N80_M240,80,240,B,edge-adjacent quasi-binary,0.48,0.48,0.04,0.475,0.4875,0.0375,l2,0.009354143466934863,0.4875,0.746689407604351,0.8511052926726714,0.259189407604351,0.10441588506832045,1,1,180,137,0.0016768941958500427,3.742285792585065e-05,7.600612634495185e-06,0.006200495727040457,0.009703105524492387,0.006236627771831597,0.008807874754196589
N80_M240,80,240,C,near-certainty vertex-adjacent,0.9,0.05,0.05,0.9,0.05,0.05,l2,0.0,0.9,0.908082522575095,0.9288910435656519,0.008082522575095008,0.020808520990556856,1,1,123,123,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,0.004988233814562979,0.007448503719014897,0.004988233814562979,0.007448503719014897
N80_M240,80,240,D,generic interior asymmetric,0.55,0.3,0.15,0.55,0.3,0.15,l2,0.0,0.55,0.6991096053332901,0.8337307918018393,0.1491096053332901,0.13462118646854915,1,1,76,104,0.0010744191507335854,0.002236044846192886,4.268244997107651e-06,0.007597369639709512,0.00886556614707159,0.008456482180646952,0.009415587514630066
N80_M240,80,240,E,off-center interior,0.44,0.28,0.28,0.4375,0.275,0.2875,l2,0.009354143466934818,0.4375,0.6503791896281707,0.7848424363613855,0.21287918962817065,0.13446324673321486,1,1,238,146,6.617961252453064e-06,0.0004530105304716425,1.2692311942896772e-05,0.00636057639381524,0.007341264406423574,0.008311802884690812,0.00872869821072269
N40_M240,40,240,A,center/symmetry,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.325,0.325,0.35,l2,0.020412414523193124,0.35,0.6385416666666667,0.7825912443550536,0.2885416666666667,0.1440495776883869,1,1,0,90,7.932694945367302e-09,0.0,1.2692311942896772e-05,0.015708156999467853,0.020168091961635524,0.016158300765723874,0.016989332972411987
N40_M240,40,240,B,edge-adjacent quasi-binary,0.48,0.48,0.04,0.475,0.475,0.05,l2,0.012247448713915896,0.475,0.7387464577890163,0.8522055427915831,0.2637464577890163,0.11345908500256685,1,1,64,105,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.01348396979927774,0.01462680549650176,0.01663014207764321,0.01729120060376235
N40_M240,40,240,C,near-certainty vertex-adjacent,0.9,0.05,0.05,0.9,0.05,0.05,l2,0.0,0.9,0.908635390015482,0.9271110250241463,0.00863539001548197,0.018475635008664337,1,1,125,125,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.008871367107163361,0.01896526279998423,0.008871367107163361,0.01896526279998423
N40_M240,40,240,D,generic interior asymmetric,0.55,0.3,0.15,0.55,0.3,0.15,l2,0.0,0.55,0.705,0.8357762713242476,0.15499999999999992,0.13077627132424763,1,1,87,89,0.0,8.669560606633375e-06,4.268244997107651e-06,0.01391079712786742,0.016937472759658123,0.015391801163966996,0.016329227849808132
N40_M240,40,240,E,off-center interior,0.44,0.28,0.28,0.45,0.275,0.275,l2,0.012247448713915901,0.45,0.6559811443812532,0.7945946623602981,0.2059811443812532,0.13861351797904486,1,1,11,97,1.1102230246251565e-16,0.0,1.2692311943007795e-05,0.015371693816065263,0.017871246097049626,0.013389368429582474,0.01688685774543893
N120_M240,120,240,A,center/symmetry,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,l2,0.0,0.3333333333333333,0.6466666666666667,0.7744548105743324,0.3133333333333334,0.12778814390766569,1,1,5,65,0.0,1.1102230246251565e-16,1.2692311942896772e-05,0.005775770686888879,0.005775770686889018,0.005303077311666921,0.00530307731166699
N120_M240,120,240,B,edge-adjacent quasi-binary,0.48,0.48,0.04,0.475,0.48333333333333334,0.041666666666666664,l2,0.00623609564462325,0.48333333333333334,0.7400382337745948,0.8471146341975653,0.25670490044126143,0.10707640042297051,1,1,178,140,0.001232652794847855,0.0007202877828882404,1.5863179740893685e-06,0.0047274546680899565,0.005714763824558892,0.003764275953781548,0.00553612677397394
N120_M240,120,240,C,near-certainty vertex-adjacent,0.9,0.05,0.05,0.9,0.05,0.05,l2,0.0,0.9,0.9078976074077652,0.9279898785560245,0.007897607407765128,0.0200922711482594,1,1,122,122,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.004091363996339903,0.005159060146476012,0.004091363996339903,0.005159060146476012
N120_M240,120,240,D,generic interior asymmetric,0.55,0.3,0.15,0.55,0.3,0.15,l2,0.0,0.55,0.6976562405744533,0.82972791262928,0.14765624057445326,0.13207167205482673,1,1,75,101,0.000989573907786534,0.00040882735216341004,4.268244997107651e-06,0.004100439960902444,0.005365239420506369,0.004222955006755999,0.005142621537263044
N120_M240,120,240,E,off-center interior,0.44,0.28,0.28,0.44166666666666665,0.275,0.2833333333333333,l2,0.0062360956446232164,0.44166666666666665,0.6464890711215304,0.7839644527756053,0.20482240445486377,0.1374753816540749,1,1,239,134,4.605525033785085e-06,7.436584088527098e-06,1.2692311942896772e-05,0.0039031062254675565,0.005716801098944433,0.003401449085563523,0.0049511859478704075
N80_M120,80,120,A,center/symmetry,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.325,0.3375,0.3375,l2,0.010206207261596585,0.3375,0.6508854087341228,0.7741058383743832,0.3133854087341228,0.12322042964026036,1,1,1,89,1.1102230246251565e-16,1.1102230246251565e-16,5.076828120276211e-05,0.006478209339623513,0.008228187473115298,0.007038001085537068,0.008523507106968545
N80_M120,80,120,B,edge-adjacent quasi-binary,0.48,0.48,0.04,0.475,0.4875,0.0375,l2,0.009354143466934863,0.4875,0.746689407604351,0.850809984804485,0.259189407604351,0.10412057720013401,1,1,90,68,0.0018871253304454383,0.0010264441969192184,5.958692854468595e-06,0.006200495727040457,0.009703105524492387,0.007002364701065303,0.008201191900096634
N80_M120,80,120,C,near-certainty vertex-adjacent,0.9,0.05,0.05,0.9,0.05,0.05,l2,0.0,0.9,0.9080494879325753,0.9288774198820644,0.008049487932575317,0.020827931949489065,1,1,58,58,0.0,0.0,1.1102230246251565e-16,0.00441017089645935,0.006629786558936968,0.00441017089645935,0.006629786558936968
N80_M120,80,120,D,generic interior asymmetric,0.55,0.3,0.15,0.55,0.3,0.15,l2,0.0,0.55,0.6991096053332901,0.8336913178687362,0.1491096053332901,0.13458171253544604,1,1,38,52,0.0010744191507335854,0.0033982004298853674,1.04171191301905e-05,0.007597369639709512,0.00886556614707159,0.008456482180646952,0.009415587514630066
N80_M120,80,120,E,off-center interior,0.44,0.28,0.28,0.4375,0.275,0.2875,l2,0.009354143466934818,0.4375,0.6503791896281707,0.7845569866306791,0.21287918962817065,0.13417779700250843,1,1,119,73,4.868899296595064e-05,0.00016756079976520954,5.0768281202873133e-05,0.00636057639381524,0.007341264406423574,0.008311802884690812,0.00872869821072269
N80_M360,80,360,A,center/symmetry,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.325,0.3375,0.3375,l2,0.010206207261596585,0.3375,0.650885415785253,0.7763286295134841,0.31338541578525303,0.12544321372823108,1,1,1,107,1.1102230246251565e-16,0.0,5.641047418625256e-06,0.007422154213448509,0.008506344911110554,0.007910161896069953,0.00943491952682934
N80_M360,80,360,B,edge-adjacent quasi-binary,0.48,0.48,0.04,0.475,0.4875,0.0375,l2,0.009354143466934863,0.4875,0.746838011120742,0.8510507936567179,0.259338011120742,0.10421278253597588,1,1,271,205,0.00014860351639089942,2.4430427405963684e-05,1.98625336067515e-06,0.007337522496535728,0.007766837659155769,0.0064660979909297285,0.008576988126950008
N80_M360,80,360,C,near-certainty vertex-adjacent,0.9,0.05,0.05,0.9,0.05,0.05,l2,0.0,0.9,0.9080914371878706,0.9288947200051254,0.008091437187870532,0.020803282817254853,1,1,176,176,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.005310332047426568,0.008430133214146235,0.005310332047426568,0.008430133214146235
N80_M360,80,360,D,generic interior asymmetric,0.55,0.3,0.15,0.55,0.3,0.15,l2,0.0,0.55,0.6991366521505281,0.8337375179244408,0.14913665215052807,0.13460086577391273,1,1,113,157,2.704681723797453e-05,1.995045923242067e-05,3.472412219651666e-06,0.007903490116025449,0.00903276833308926,0.008333899310691924,0.008846782140563782
N80_M360,80,360,E,off-center interior,0.44,0.28,0.28,0.4375,0.275,0.2875,l2,0.009354143466934818,0.4375,0.650383268281127,0.7847360289300348,0.21288326828112702,0.13435276064890778,1,1,358,200,4.078652956374107e-06,4.070044007542517e-05,5.641047418625256e-06,0.007757645355110299,0.008607538386911124,0.007268450315100417,0.008907241189497593
