baseline_index,b1,b2,b3,x,y,suspicion_score,baseline_D1,baseline_D0,coarse_D1,coarse_D0,refined_D1,refined_D0,exact_D1_dense,exact_D0_dense,abs_err_baseline_D1_vs_exact,abs_err_baseline_D0_vs_exact,abs_err_coarse_D0_vs_exact,abs_err_refined_D0_vs_exact,baseline_stage1_measure,baseline_stage0_measure,coarse_stage1_measure,coarse_stage0_measure,refined_stage1_measure,refined_stage0_measure,exact_stage1_measure,exact_stage0_measure,baseline_vs_exact_D0_sign_flip,coarse_vs_exact_D0_sign_flip,refined_vs_exact_D0_sign_flip,map_dist_to_coarse,map_dist_to_refined
77,0.0,0.9625,0.0375,0.9812500000000001,0.032475952641916446,2.9928758758461855,0.0,0.0014683999476083898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014683999476083898,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0.017677669529663653,0.005892556509887885
83,0.0125,0.025,0.9625,0.50625,0.8335494511425222,2.7191830543767104,0.0,0.0,0.0,0.0021496135157018648,0.0,0.0,0.0,0.0,0.0,0.0,0.0021496135157018648,0.0,0,0,0,1,0,0,0,0,0,1,0,0.017677669529663737,0.005892556509887885
158,0.0125,0.9625,0.025,0.975,0.021650635094610966,2.7191830543767215,0.0,0.0,0.0,0.002149613515701976,0.0,0.0,0.0,0.0,0.0,0.0,0.002149613515701976,0.0,0,0,0,1,0,0,0,0,0,1,0,0.017677669529663737,0.005892556509887885
162,0.025,0.0125,0.9625,0.49375,0.8335494511425222,2.7191830543767104,0.0,0.0,0.0,0.0021496135157018648,0.0,0.0,0.0,0.0,0.0,0.0,0.0021496135157018648,0.0,0,0,0,1,0,0,0,0,0,1,0,0.017677669529663737,0.005892556509887885
163,0.025,0.025,0.95,0.5,0.8227241335952167,2.7246749039293645,0.0,4.1691085338690925e-05,0.0,0.0021496135157018648,0.0,0.0,0.0,0.0,0.0,4.1691085338690925e-05,0.0021496135157018648,0.0,0,1,0,1,0,0,0,0,1,1,0,0.0,0.0
237,0.025,0.95,0.025,0.9624999999999999,0.021650635094610966,2.7246749039293614,0.0,4.16910853385799e-05,0.0,0.002149613515701976,0.0,0.0,0.0,0.0,0.0,4.16910853385799e-05,0.002149613515701976,0.0,0,1,0,1,0,0,0,0,1,1,0,0.0,0.0
1473,0.25,0.5375,0.2125,0.6437499999999999,0.1840303983041932,2.41981329562801,0.11844625893537553,0.1603449817756426,0.12723477953979456,0.14764215077218812,0.1184234565204455,0.15553272095852155,0.11649302795933114,0.15590426917424383,0.0019532309760443844,0.0044407126013987774,0.008262118402055707,0.0003715482157222727,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663723,0.005892556509887875
1475,0.25,0.5625,0.1875,0.65625,0.16237976320958225,2.3696105763667994,0.11891861161453077,0.1455598181927834,0.1265484473115439,0.13393708106899804,0.11874145816676329,0.14049111672869907,0.11609426505143539,0.14123395018628582,0.0028243465630953812,0.004325868006497591,0.007296869117287774,0.0007428334575867446,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663664,0.005892556509887895
1477,0.25,0.5875,0.1625,0.6687500000000001,0.14072912811497126,2.3458784101514225,0.11778167785729154,0.13094736998184608,0.12529956489315397,0.12171926865306748,0.11922669880554038,0.12493539639879991,0.11572248984435862,0.12679106336264934,0.002059188012932922,0.004156306619196748,0.005071794709581856,0.0018556669638494228,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663664,0.005892556509887895
1711,0.3,0.5375,0.1625,0.61875,0.14072912811497126,2.2400757156170292,0.14793380886108232,0.14190564553964724,0.15500000000000003,0.13077627132424774,0.14739837195805938,0.13717597978496554,0.14581769752797913,0.13687785616401593,0.0021161113331031878,0.0050277893756313086,0.006101584839768193,0.00029812362094960854,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663743,0.005892556509887895
1751,0.3125,0.325,0.3625,0.50625,0.31393420887185897,2.6841938556038905,0.289010390885408,0.1236901379810128,0.2885416666666667,0.1440495776883869,0.28881944444444435,0.1262929978441787,0.2841666666666666,0.12134324734652036,0.004843724218741352,0.002346890634492449,0.022706330341866532,0.004949750497658334,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663705,0.005892556509887875
1752,0.3125,0.3375,0.35,0.5125,0.3031088913245535,2.2580243838832876,0.3011979166666666,0.12435224451626437,0.2885416666666667,0.1440495776883869,0.29694444444444434,0.1254203499844435,0.29666666666666663,0.12128794837300794,0.004531249999999987,0.0030642961432564286,0.02276162931537895,0.004132401611435577,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663705,0.005892556509887914
1753,0.3125,0.35,0.3375,0.51875,0.29228357377724806,2.2580243838832876,0.3011979166666666,0.12435224451626437,0.2885416666666667,0.1440495776883869,0.29694444444444434,0.1254203499844435,0.29666666666666663,0.12128794837300794,0.004531249999999987,0.0030642961432564286,0.02276162931537895,0.004132401611435577,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663705,0.005892556509887914
1754,0.3125,0.3625,0.325,0.525,0.2814582562299425,2.6842025092138533,0.28901041666666666,0.12369011219975412,0.2885416666666667,0.1440495776883869,0.28881944444444446,0.12629299784417858,0.2841666666666666,0.12134324734652047,0.0048437500000000355,0.0023468648532336545,0.02270633034186642,0.004949750497658112,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663705,0.005892556509887875
1806,0.325,0.3125,0.3625,0.49375,0.31393420887185897,2.6841938556038536,0.28901039088540786,0.12369013798101292,0.2885416666666667,0.1440495776883869,0.28881944444444435,0.1262929978441787,0.2841666666666666,0.12134324734652036,0.004843724218741241,0.00234689063449256,0.022706330341866532,0.004949750497658334,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663705,0.005892556509887875
1807,0.325,0.325,0.35,0.5,0.3031088913245535,2.8470547175676417,0.3010416587339716,0.12279443943598745,0.2885416666666667,0.1440495776883869,0.296875,0.12570339527353125,0.29666666666666663,0.121257297929935,0.004374992067304961,0.0015371415060524418,0.022792279758451883,0.004446097343596245,1,1,1,1,1,1,1,1,0,0,0,0.0,0.0
1808,0.325,0.3375,0.3375,0.5062500000000001,0.29228357377724806,2.502758106370382,0.313385414683493,0.12384724619439202,0.2885416666666667,0.1440495776883869,0.3050694444444444,0.12574226412997547,0.3091666666666666,0.12122879180730606,0.0042187480168264235,0.0026184543870859667,0.02282078588108083,0.0045134723226694096,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663664,0.005892556509887914
1809,0.325,0.35,0.325,0.5125,0.2814582562299425,2.8470547175676786,0.3010416587339717,0.12279443943598733,0.2885416666666667,0.1440495776883869,0.296875,0.12570339527353125,0.29666666666666663,0.12125729792993512,0.004374992067305072,0.0015371415060522198,0.022792279758451772,0.004446097343596134,1,1,1,1,1,1,1,1,0,0,0,0.0,0.0
1818,0.325,0.4625,0.2125,0.56875,0.1840303983041932,2.3894122633033463,0.1872686994763041,0.15036899975808593,0.17563380266198236,0.16379586366491117,0.18058231339592623,0.15473526042832653,0.1841666666666667,0.14901285666619168,0.0031020328096373895,0.0013561430918942463,0.014783006998719483,0.005722403762134842,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663646,0.005892556509887875
1862,0.3375,0.325,0.3375,0.49375,0.29228357377724806,2.5027581063704076,0.3133854146834929,0.12384724619439214,0.2885416666666666,0.144049577688387,0.3050694444444444,0.1257422641299757,0.3091666666666666,0.12122879180730595,0.0042187480168263125,0.0026184543870861887,0.02282078588108105,0.004513472322669743,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663664,0.005892556509887914
1863,0.3375,0.3375,0.325,0.5,0.2814582562299425,2.502758106370382,0.3133854146834929,0.12384724619439214,0.2885416666666666,0.144049577688387,0.3050694444444444,0.12574226412997558,0.3091666666666667,0.12122879180730595,0.0042187480168262015,0.0026184543870861887,0.02282078588108105,0.004513472322669632,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663664,0.005892556509887914
1915,0.35,0.3125,0.3375,0.48125,0.29228357377724806,2.258024383883247,0.30119791666666673,0.12435224451626437,0.2885416666666666,0.144049577688387,0.29694444444444434,0.1254203499844433,0.29666666666666663,0.12128794837300794,0.004531250000000098,0.0030642961432564286,0.02276162931537906,0.0041324016114353546,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663705,0.005892556509887914
1916,0.35,0.325,0.325,0.48750000000000004,0.2814582562299425,2.8470547175677163,0.3010416587339717,0.12279443943598733,0.2885416666666666,0.144049577688387,0.2968749999999999,0.12570339527353136,0.29666666666666663,0.121257297929935,0.004374992067305072,0.0015371415060523308,0.022792279758451994,0.004446097343596356,1,1,1,1,1,1,1,1,0,0,0,0.0,0.0
2002,0.375,0.0875,0.5375,0.35624999999999996,0.46548865453413574,2.1531072635083546,0.1968014732846246,0.11057888359220447,0.2028280190435342,0.12068638930871534,0.19238807600006413,0.1153822589570912,0.19063735212450106,0.11049258044989418,0.006164121160123548,8.630314231028446e-05,0.010193808858821152,0.004889678507197015,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663664,0.005892556509887885
2034,0.375,0.4875,0.1375,0.55625,0.11907849302036032,2.689903632398968,0.19497685436526296,0.14285533694287944,0.20243603889782547,0.13201453334170077,0.19572559422763808,0.13607487996019385,0.19218727730316926,0.13746619400883708,0.0027895770620937066,0.005389142934042357,0.0054516606671363155,0.001391314048643233,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663705,0.005892556509887895
2348,0.4625,0.2125,0.325,0.375,0.2814582562299425,2.389412263303257,0.18726869947630387,0.15036899975808615,0.17563380266198225,0.16379586366491128,0.18058231339592623,0.15473526042832642,0.1841666666666667,0.14901285666619168,0.0031020328096371674,0.0013561430918944684,0.014783006998719594,0.005722403762134731,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663646,0.005892556509887875
2357,0.4625,0.325,0.2125,0.43125,0.1840303983041932,2.389412263303283,0.18726869947630387,0.15036899975808615,0.17563380266198214,0.16379586366491128,0.18058231339592623,0.15473526042832653,0.1841666666666666,0.14901285666619157,0.0031020328096372785,0.0013561430918945794,0.014783006998719705,0.005722403762134953,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663646,0.005892556509887875
2429,0.4875,0.1375,0.375,0.325,0.3247595264191645,2.689903632398994,0.19497685436526285,0.14285533694287944,0.20243603889782547,0.13201453334170077,0.1957255942276382,0.13607487996019374,0.19218727730316926,0.13746619400883697,0.0027895770620935956,0.005389142934042468,0.0054516606671362045,0.001391314048643233,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663705,0.005892556509887895
2448,0.4875,0.375,0.1375,0.44375,0.11907849302036032,2.6899036323990204,0.19497685436526285,0.14285533694287955,0.20243603889782547,0.13201453334170088,0.19572559422763808,0.13607487996019374,0.19218727730316937,0.13746619400883686,0.0027895770620934845,0.00538914293404269,0.005451660667135982,0.001391314048643122,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663705,0.005892556509887895
2593,0.5375,0.1625,0.3,0.3125,0.25980762113533157,2.240075715617018,0.14793380886108243,0.14190564553964702,0.15499999999999992,0.13077627132424763,0.14739837195805938,0.13717597978496532,0.14581769752797913,0.13687785616401593,0.002116111333103299,0.0050277893756310865,0.006101584839768304,0.0002981236209493865,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663743,0.005892556509887895
2597,0.5375,0.2125,0.25,0.3375,0.21650635094610965,2.419813295628062,0.11844625893537553,0.1603449817756426,0.12723477953979456,0.14764215077218812,0.1184234565204455,0.15553272095852133,0.11649302795933092,0.15590426917424383,0.0019532309760446065,0.0044407126013987774,0.008262118402055707,0.00037154821572249475,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663723,0.005892556509887875
2600,0.5375,0.25,0.2125,0.35625,0.1840303983041932,2.4198132956279954,0.11844625893537553,0.1603449817756425,0.12723477953979456,0.1476421507721879,0.11842345652044539,0.15553272095852155,0.11649302795933114,0.1559042691742436,0.0019532309760443844,0.0044407126013988885,0.008262118402055707,0.00037154821572205066,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663723,0.005892556509887875
2604,0.5375,0.3,0.1625,0.38125,0.14072912811497126,2.240075715617081,0.14793380886108243,0.14190564553964713,0.15499999999999992,0.13077627132424763,0.1473983719580595,0.1371759797849652,0.14581769752797902,0.13687785616401593,0.00211611133310341,0.0050277893756311975,0.006101584839768304,0.00029812362094927547,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663743,0.005892556509887895
2670,0.5625,0.1875,0.25,0.3125,0.21650635094610965,2.3696105763668855,0.11891861161453054,0.1455598181927834,0.12654844731154402,0.1339370810689977,0.11874145816676329,0.14049111672869885,0.11609426505143539,0.14123395018628582,0.002824346563095159,0.004325868006497591,0.007296869117288107,0.0007428334575869666,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663664,0.005892556509887895
2675,0.5625,0.25,0.1875,0.34375,0.16237976320958225,2.369610576366748,0.11891861161453066,0.1455598181927833,0.1265484473115439,0.13393708106899793,0.11874145816676329,0.14049111672869918,0.11609426505143527,0.14123395018628593,0.0028243465630953812,0.004325868006497369,0.007296869117287996,0.0007428334575867446,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663664,0.005892556509887895
2739,0.5875,0.1625,0.25,0.2875,0.21650635094610965,2.3458784101514225,0.11778167785729154,0.13094736998184608,0.12529956489315375,0.12171926865306748,0.11922669880554027,0.12493539639879991,0.11572248984435862,0.126791063362649,0.002059188012932922,0.004156306619197081,0.005071794709581523,0.0018556669638490897,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663664,0.005892556509887895
2746,0.5875,0.25,0.1625,0.33125,0.14072912811497126,2.3458784101515455,0.11778167785729143,0.1309473699818462,0.12529956489315386,0.12171926865306715,0.11922669880554038,0.12493539639879969,0.11572248984435862,0.126791063362649,0.002059188012932811,0.004156306619197192,0.005071794709581856,0.0018556669638493117,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663664,0.005892556509887895
3308,0.95,0.025,0.025,0.037500000000000006,0.021650635094610966,2.724674903929313,0.0,4.169108533846888e-05,0.0,0.0021496135157016427,0.0,0.0,0.0,0.0,0.0,4.169108533846888e-05,0.0021496135157016427,0.0,0,1,0,1,0,0,0,0,1,1,0,0.0,0.0
3311,0.9625,0.0,0.0375,0.01875,0.032475952641916446,2.9928758758461482,0.0,0.0014683999476082787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014683999476082787,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0.017677669529663653,0.005892556509887885
3314,0.9625,0.0375,0.0,0.0375,0.0,2.9928758758461482,0.0,0.0014683999476082787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014683999476082787,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0.017677669529663653,0.005892556509887885
